strategy,seed,channel,first_seen_time_s,directional
geometry_early_optical_clear_probe,3994878760,8,47.0,True
geometry_early_optical_clear_probe,3994878760,20,119.0,True
geometry_early_optical_clear_probe,3994878760,19,276.2,False
geometry_early_optical_clear_probe,3994878760,15,300.2,True
geometry_early_optical_clear_probe,3994878760,7,348.2,False
geometry_early_optical_clear_probe,3994878760,9,1907.8262334145368,True
geometry_early_optical_clear_probe,3994878760,3,3293.6288873532385,True
geometry_early_optical_clear_probe,3994878760,14,3987.228887353238,True
geometry_early_optical_clear_probe,3994878760,17,4753.032846383665,True
geometry_early_optical_clear_probe,3994878760,11,5012.232846383665,True
geometry_early_optical_clear_probe,3446493538,9,53.0,False
geometry_early_optical_clear_probe,3446493538,12,71.0,True
geometry_early_optical_clear_probe,3446493538,16,95.0,True
geometry_early_optical_clear_probe,3446493538,18,107.0,True
geometry_early_optical_clear_probe,3446493538,7,348.2,False
geometry_early_optical_clear_probe,3446493538,3,372.2,True
geometry_early_optical_clear_probe,3446493538,2,1576.848326292889,False
geometry_early_optical_clear_probe,3446493538,4,2071.248326292889,False
geometry_early_optical_clear_probe,3446493538,10,2594.788275104248,False
geometry_early_optical_clear_probe,3446493538,19,2805.988275104248,False
geometry_early_optical_clear_probe,3446493538,20,3760.9505630134386,True
geometry_early_optical_clear_probe,1278112619,9,53.0,False
geometry_early_optical_clear_probe,1278112619,11,65.0,False
geometry_early_optical_clear_probe,1278112619,14,83.0,False
geometry_early_optical_clear_probe,1278112619,17,101.0,True
geometry_early_optical_clear_probe,1278112619,18,107.0,False
geometry_early_optical_clear_probe,1278112619,20,119.0,False
geometry_early_optical_clear_probe,1278112619,13,312.2,False
geometry_early_optical_clear_probe,1278112619,10,330.2,False
geometry_early_optical_clear_probe,1278112619,7,348.2,True
geometry_early_optical_clear_probe,1278112619,6,542.9183064201255,False
geometry_early_optical_clear_probe,1278112619,19,1152.4454314671002,True
geometry_early_optical_clear_probe,1278112619,1,3006.1263051753717,False
geometry_early_optical_clear_probe,1278112619,2,3012.1263051753717,False
geometry_early_optical_clear_probe,1278112619,5,3674.430854932307,True
geometry_early_optical_clear_probe,1278112619,4,3680.430854932307,True
geometry_early_optical_clear_probe,1278112619,16,4929.421478565748,False
geometry_early_optical_clear_probe,4265401991,6,35.0,True
geometry_early_optical_clear_probe,4265401991,7,41.0,True
geometry_early_optical_clear_probe,4265401991,9,53.0,True
geometry_early_optical_clear_probe,4265401991,10,59.0,False
geometry_early_optical_clear_probe,4265401991,15,89.0,False
geometry_early_optical_clear_probe,4265401991,17,101.0,False
geometry_early_optical_clear_probe,4265401991,13,312.2,False
geometry_early_optical_clear_probe,4265401991,1,517.7529897127581,False
geometry_early_optical_clear_probe,4265401991,4,535.7529897127581,False
geometry_early_optical_clear_probe,4265401991,2,1439.974412972224,True
geometry_early_optical_clear_probe,4265401991,19,2507.364832333178,True
geometry_early_optical_clear_probe,4265401991,11,3021.187085149904,True
geometry_early_optical_clear_probe,4265401991,3,3045.187085149904,True
geometry_early_optical_clear_probe,4265401991,16,4900.216410603818,True
geometry_early_optical_clear_probe,4265401991,5,5442.642238670388,True
geometry_early_optical_clear_probe,428302697,10,59.0,True
geometry_early_optical_clear_probe,428302697,13,77.0,False
geometry_early_optical_clear_probe,428302697,14,83.0,False
geometry_early_optical_clear_probe,428302697,15,89.0,False
geometry_early_optical_clear_probe,428302697,19,276.2,False
geometry_early_optical_clear_probe,428302697,5,360.2,True
geometry_early_optical_clear_probe,428302697,2,378.2,True
geometry_early_optical_clear_probe,428302697,1,1043.640345526581,False
geometry_early_optical_clear_probe,428302697,18,1115.640345526581,True
geometry_early_optical_clear_probe,428302697,12,3010.060829511351,True
geometry_early_optical_clear_probe,428302697,3,4816.594695791147,True
geometry_early_optical_clear_probe,428302697,20,5340.826225622106,False
geometry_early_optical_clear_probe,428302697,11,5510.026225622106,False
geometry_early_optical_clear_probe,428302697,4,5540.026225622106,False
geometry_early_optical_clear_probe,428302697,6,6981.267948931166,True
geometry_early_optical_clear_probe,428302697,8,6993.267948931166,True
geometry_early_optical_clear_probe,4291446997,2,11.0,True
geometry_early_optical_clear_probe,4291446997,6,35.0,True
geometry_early_optical_clear_probe,4291446997,13,77.0,True
geometry_early_optical_clear_probe,4291446997,17,101.0,False
geometry_early_optical_clear_probe,4291446997,8,342.2,False
geometry_early_optical_clear_probe,4291446997,7,348.2,True
geometry_early_optical_clear_probe,4291446997,5,360.2,True
geometry_early_optical_clear_probe,4291446997,20,580.267312701634,True
geometry_early_optical_clear_probe,4291446997,16,3019.007141140955,True
geometry_early_optical_clear_probe,4291446997,18,3183.8775741595,False
geometry_early_optical_clear_probe,4291446997,3,5718.695091691294,False
geometry_early_optical_clear_probe,1698866270,12,71.0,False
geometry_early_optical_clear_probe,1698866270,17,101.0,False
geometry_early_optical_clear_probe,1698866270,18,107.0,True
geometry_early_optical_clear_probe,1698866270,19,113.0,True
geometry_early_optical_clear_probe,1698866270,11,324.2,False
geometry_early_optical_clear_probe,1698866270,16,625.4,False
geometry_early_optical_clear_probe,1698866270,2,1780.46799968486,True
geometry_early_optical_clear_probe,1698866270,15,2931.93008276502,True
geometry_early_optical_clear_probe,1698866270,13,3078.4951587253913,True
geometry_early_optical_clear_probe,1698866270,3,3126.4951587253913,False
geometry_early_optical_clear_probe,1698866270,4,4555.242315811063,True
geometry_early_optical_clear_probe,1698866270,5,4808.442315811063,True
geometry_early_optical_clear_probe,44365831,8,47.0,True
geometry_early_optical_clear_probe,44365831,9,53.0,False
geometry_early_optical_clear_probe,44365831,11,65.0,False
geometry_early_optical_clear_probe,44365831,13,77.0,False
geometry_early_optical_clear_probe,44365831,18,107.0,False
geometry_early_optical_clear_probe,44365831,14,306.2,True
