strategy,seed,channel,first_seen_time_s,directional
geometry_early_optical_clear_probe,1053799946,11,65.0,True
geometry_early_optical_clear_probe,1053799946,6,354.2,True
geometry_early_optical_clear_probe,1053799946,5,360.2,False
geometry_early_optical_clear_probe,1053799946,4,366.2,False
geometry_early_optical_clear_probe,1053799946,16,1018.7856975525162,True
geometry_early_optical_clear_probe,1053799946,8,1898.40432191694,True
geometry_early_optical_clear_probe,1053799946,2,2187.60432191694,False
geometry_early_optical_clear_probe,1053799946,17,2598.0043219169397,False
geometry_early_optical_clear_probe,1053799946,1,3122.4043219169394,False
geometry_early_optical_clear_probe,1053799946,9,3337.394282027635,True
geometry_early_optical_clear_probe,1053799946,12,3572.594282027635,True
geometry_early_optical_clear_probe,1053799946,15,4549.661186466579,True
geometry_early_optical_clear_probe,1053799946,3,4742.861186466579,True
geometry_early_optical_clear_probe,1053799946,19,4796.861186466579,True
geometry_early_optical_clear_probe,1053799946,10,6594.47782974761,False
geometry_early_optical_clear_probe,3769781415,5,29.0,True
geometry_early_optical_clear_probe,3769781415,11,65.0,False
geometry_early_optical_clear_probe,3769781415,14,306.2,True
geometry_early_optical_clear_probe,3769781415,13,312.2,False
geometry_early_optical_clear_probe,3769781415,4,366.2,True
geometry_early_optical_clear_probe,3769781415,18,1102.3063078406567,True
geometry_early_optical_clear_probe,3769781415,19,2223.7940356535782,False
geometry_early_optical_clear_probe,3769781415,2,2289.7940356535782,True
geometry_early_optical_clear_probe,3769781415,7,2470.994035653578,False
geometry_early_optical_clear_probe,3769781415,6,2905.3940356535777,False
geometry_early_optical_clear_probe,3769781415,12,3373.0479038795115,True
geometry_early_optical_clear_probe,3769781415,16,3385.0479038795115,True
geometry_early_optical_clear_probe,3769781415,1,4106.958318439426,False
geometry_early_optical_clear_probe,3769781415,8,4118.958318439426,False
geometry_early_optical_clear_probe,54363013,5,29.0,False
geometry_early_optical_clear_probe,54363013,6,35.0,False
geometry_early_optical_clear_probe,54363013,7,41.0,True
geometry_early_optical_clear_probe,54363013,8,47.0,True
geometry_early_optical_clear_probe,54363013,17,101.0,True
geometry_early_optical_clear_probe,54363013,19,276.2,True
geometry_early_optical_clear_probe,54363013,14,306.2,True
geometry_early_optical_clear_probe,54363013,2,541.4,False
geometry_early_optical_clear_probe,54363013,4,553.4,False
geometry_early_optical_clear_probe,54363013,18,637.4,False
geometry_early_optical_clear_probe,54363013,12,805.8309582640512,True
geometry_early_optical_clear_probe,54363013,16,1337.2299644615462,True
geometry_early_optical_clear_probe,54363013,20,2359.0340389367984,True
geometry_early_optical_clear_probe,54363013,9,3248.0248390825714,True
geometry_early_optical_clear_probe,54363013,15,4113.033384873921,True
geometry_early_optical_clear_probe,54363013,11,5276.712358139293,True
geometry_early_optical_clear_probe,1790261668,2,11.0,True
geometry_early_optical_clear_probe,1790261668,4,23.0,False
geometry_early_optical_clear_probe,1790261668,6,35.0,True
geometry_early_optical_clear_probe,1790261668,7,41.0,True
geometry_early_optical_clear_probe,1790261668,16,95.0,True
geometry_early_optical_clear_probe,1790261668,18,107.0,False
geometry_early_optical_clear_probe,1790261668,19,276.2,False
geometry_early_optical_clear_probe,1790261668,3,372.2,False
geometry_early_optical_clear_probe,1790261668,14,824.3865796437253,False
geometry_early_optical_clear_probe,1790261668,5,878.3865796437253,True
geometry_early_optical_clear_probe,1790261668,9,1450.7238859756967,True
geometry_early_optical_clear_probe,1790261668,1,1677.7450976205225,True
geometry_early_optical_clear_probe,1790261668,17,1749.7450976205225,True
geometry_early_optical_clear_probe,1790261668,12,2168.2134470296014,True
geometry_early_optical_clear_probe,1790261668,13,2174.2134470296014,True
geometry_early_optical_clear_probe,1790261668,8,3875.955761963983,False
geometry_early_optical_clear_probe,1842799737,8,47.0,False
geometry_early_optical_clear_probe,1842799737,16,95.0,False
geometry_early_optical_clear_probe,1842799737,20,119.0,False
geometry_early_optical_clear_probe,1842799737,15,300.2,False
geometry_early_optical_clear_probe,1842799737,6,354.2,False
geometry_early_optical_clear_probe,1842799737,13,552.6540239329466,True
geometry_early_optical_clear_probe,1842799737,9,778.6082733075503,True
geometry_early_optical_clear_probe,1842799737,5,1280.379644550572,True
geometry_early_optical_clear_probe,1842799737,12,2119.2507469411303,False
geometry_early_optical_clear_probe,1842799737,19,5267.616699528712,False
geometry_early_optical_clear_probe,1842799737,10,5448.816699528712,True
geometry_early_optical_clear_probe,1842799737,1,5630.016699528712,True
geometry_early_optical_clear_probe,164208968,2,11.0,True
geometry_early_optical_clear_probe,164208968,7,41.0,False
geometry_early_optical_clear_probe,164208968,8,47.0,False
geometry_early_optical_clear_probe,164208968,9,53.0,True
geometry_early_optical_clear_probe,164208968,11,65.0,True
geometry_early_optical_clear_probe,164208968,15,89.0,False
geometry_early_optical_clear_probe,164208968,17,101.0,False
geometry_early_optical_clear_probe,164208968,16,574.8503881063072,False
geometry_early_optical_clear_probe,164208968,14,790.7067133692142,False
geometry_early_optical_clear_probe,164208968,12,1084.1637254594725,True
geometry_early_optical_clear_probe,164208968,20,2556.3703614039287,False
geometry_early_optical_clear_probe,164208968,19,2829.9766112618695,False
geometry_early_optical_clear_probe,164208968,1,2889.9766112618695,False
geometry_early_optical_clear_probe,164208968,4,3053.1766112618693,True
geometry_early_optical_clear_probe,164208968,6,3741.548814452135,True
geometry_early_optical_clear_probe,278802184,1,5.0,False
geometry_early_optical_clear_probe,278802184,6,35.0,False
geometry_early_optical_clear_probe,278802184,9,53.0,False
geometry_early_optical_clear_probe,278802184,7,348.2,True
geometry_early_optical_clear_probe,278802184,4,366.2,False
geometry_early_optical_clear_probe,278802184,18,1279.5691499439577,True
geometry_early_optical_clear_probe,278802184,20,2234.3920759249204,True
geometry_early_optical_clear_probe,278802184,16,2407.163210061866,False
geometry_early_optical_clear_probe,278802184,5,2455.163210061866,False
geometry_early_optical_clear_probe,278802184,19,3333.364184596814,False
geometry_early_optical_clear_probe,278802184,12,3369.364184596814,False
geometry_early_optical_clear_probe,278802184,17,5785.092765903092,True
geometry_early_optical_clear_probe,278802184,8,6438.328989968118,True
geometry_early_optical_clear_probe,184571676,2,11.0,True
geometry_early_optical_clear_probe,184571676,3,17.0,True
geometry_early_optical_clear_probe,184571676,4,23.0,False
geometry_early_optical_clear_probe,184571676,7,41.0,True
geometry_early_optical_clear_probe,184571676,10,59.0,True
geometry_early_optical_clear_probe,184571676,16,95.0,True
geometry_early_optical_clear_probe,184571676,15,300.2,False
geometry_early_optical_clear_probe,184571676,14,613.4,True
geometry_early_optical_clear_probe,184571676,6,1245.2482846117632,True
geometry_early_optical_clear_probe,184571676,18,3099.7171370858505,False
geometry_early_optical_clear_probe,184571676,20,3111.7171370858505,False
geometry_early_optical_clear_probe,184571676,13,4139.471752047187,True
geometry_early_optical_clear_probe,184571676,5,5016.400809557227,False
geometry_early_optical_clear_probe,184571676,1,6110.405113537977,True
geometry_early_optical_clear_probe,3873771518,1,5.0,True
geometry_early_optical_clear_probe,3873771518,12,71.0,False
geometry_early_optical_clear_probe,3873771518,13,77.0,True
geometry_early_optical_clear_probe,3873771518,15,89.0,False
geometry_early_optical_clear_probe,3873771518,20,119.0,False
geometry_early_optical_clear_probe,3873771518,16,294.2,False
geometry_early_optical_clear_probe,3873771518,4,366.2,False
geometry_early_optical_clear_probe,3873771518,14,547.1512134729469,True
geometry_early_optical_clear_probe,3873771518,3,2798.6121207163956,False
geometry_early_optical_clear_probe,3873771518,2,3599.00264830724,True
geometry_early_optical_clear_probe,3873771518,5,3734.7690534471794,True
geometry_early_optical_clear_probe,886997678,1,5.0,False
geometry_early_optical_clear_probe,886997678,8,47.0,False
geometry_early_optical_clear_probe,886997678,10,59.0,False
geometry_early_optical_clear_probe,886997678,14,83.0,False
geometry_early_optical_clear_probe,886997678,15,89.0,True
