policy,baseline,paired_cases,candidate_unpaired_cases,baseline_unpaired_cases,mean_saved_case_s,saved_per_source_s,saved_ratio_ci_low_s,saved_ratio_ci_high_s,case_win_rate,worst_regression_s,paired_seeds
candidate_043_interface_cost,candidate_041_dynamic_open_route_deferred_cross_view,10,0,0,20.52745061614696,1.4767950083558965,0.0,3.7961993037394373,0.2,0.0,20261110;20261111;20261112;20261113;20261114;20261115;20261116;20261117;20261118;20261119
candidate_044_completion,candidate_041_dynamic_open_route_deferred_cross_view,10,0,0,228.6751793632322,16.45145175275052,12.093148313005322,20.604776789717327,1.0,0.0,20261110;20261111;20261112;20261113;20261114;20261115;20261116;20261117;20261118;20261119
candidate_045_reception,candidate_041_dynamic_open_route_deferred_cross_view,10,0,0,42.986408876486124,3.0925474011860516,0.3325512829272461,6.2818463787338175,0.7,25.269760090321142,20261110;20261111;20261112;20261113;20261114;20261115;20261116;20261117;20261118;20261119
candidate_046_shared_coverage,candidate_041_dynamic_open_route_deferred_cross_view,10,0,0,50.065047126067384,3.601801951515639,-0.0011655943526265218,8.17403618133011,0.7,38.39694390136992,20261110;20261111;20261112;20261113;20261114;20261115;20261116;20261117;20261118;20261119
candidate_047_probe_refine,candidate_041_dynamic_open_route_deferred_cross_view,10,0,0,111.88553451509146,8.049319029862696,4.329136581187894,12.171955701196012,1.0,0.0,20261110;20261111;20261112;20261113;20261114;20261115;20261116;20261117;20261118;20261119
candidate_048_combined,candidate_041_dynamic_open_route_deferred_cross_view,10,0,0,259.3131414326648,18.655621685803226,13.054121801622745,23.84686834965078,1.0,0.0,20261110;20261111;20261112;20261113;20261114;20261115;20261116;20261117;20261118;20261119
candidate_049_joint_completion,candidate_041_dynamic_open_route_deferred_cross_view,5,0,5,336.61826076207547,21.304953212789584,14.233137888924542,28.131932099907953,1.0,0.0,20261110;20261111;20261112;20261113;20261114
candidate_050_joint_coverage,candidate_041_dynamic_open_route_deferred_cross_view,5,0,5,264.369917182819,16.732273239418923,8.501695626763166,23.63991225421387,1.0,0.0,20261110;20261111;20261112;20261113;20261114
candidate_051_ring1140,candidate_041_dynamic_open_route_deferred_cross_view,5,0,5,283.6212767574975,17.950713718828958,13.620069005416566,22.5605368781249,1.0,0.0,20261110;20261111;20261112;20261113;20261114
candidate_052_probe40,candidate_041_dynamic_open_route_deferred_cross_view,5,0,5,348.8846148130382,22.08130473500242,15.018726376343526,28.66794900906197,1.0,0.0,20261110;20261111;20261112;20261113;20261114
