strategy,seed,channel,first_seen_time_s,directional
belief,0,5,29.0,False
belief,0,6,35.0,False
belief,0,13,77.0,False
belief,0,20,119.0,False
belief,0,1,277.0,False
belief,0,3,289.0,True
belief,0,4,295.0,False
belief,0,12,343.0,True
belief,0,10,603.0,False
belief,0,16,639.0,True
belief,0,8,1793.44463587254,True
belief,0,9,1799.44463587254,True
belief,0,18,2083.44463587254,False
belief,0,2,3081.9736255881753,True
belief,0,7,4083.3412183751434,True
belief,0,14,5568.539420733672,True
belief,1,7,41.0,False
belief,1,13,77.0,True
belief,1,14,83.0,False
belief,1,19,113.0,False
belief,1,4,295.0,True
belief,1,11,337.0,False
belief,1,16,367.0,True
belief,1,3,994.5573305576426,True
belief,1,8,1555.8869892994203,True
belief,1,17,1845.8869892994203,True
belief,1,9,5798.185277258737,True
belief,2,6,35.0,False
belief,2,13,77.0,False
belief,2,15,89.0,True
belief,2,3,289.0,False
belief,2,5,301.0,False
belief,2,10,331.0,False
belief,2,11,337.0,False
belief,2,14,355.0,True
belief,2,20,391.0,True
belief,2,16,639.0,False
belief,2,17,645.0,False
belief,2,4,1859.6212547541375,True
belief,2,2,2103.9129888169655,False
belief,2,1,3895.828688356354,False
belief,2,12,4131.828688356354,True
belief,2,19,6695.953102456765,True
belief,3,1,5.0,False
belief,3,2,11.0,True
belief,3,8,47.0,False
belief,3,16,95.0,False
belief,3,19,113.0,False
belief,3,5,301.0,False
belief,3,11,337.0,False
belief,3,12,343.0,False
belief,3,18,1183.0,False
belief,3,14,1953.863852491216,False
belief,3,10,4280.955674429715,True
belief,4,2,11.0,False
belief,4,4,23.0,True
belief,4,9,53.0,False
belief,4,17,101.0,True
belief,4,15,361.0,False
belief,4,7,1738.1521404914743,True
belief,4,5,2769.0088381803025,False
belief,4,10,3041.0088381803025,True
belief,4,1,3253.0088381803025,False
belief,4,16,3319.0088381803025,False
belief,4,13,3555.0088381803025,True
belief,5,3,17.0,False
belief,5,8,47.0,False
belief,5,9,53.0,False
belief,5,12,71.0,False
belief,5,17,101.0,True
belief,5,13,621.0,False
belief,5,15,633.0,False
belief,5,1,925.2694120081569,True
belief,5,6,949.2694120081569,True
belief,5,2,1185.269412008157,False
belief,5,7,1209.269412008157,False
belief,5,11,1227.269412008157,True
belief,5,4,3799.0768206439548,True
belief,5,18,5855.474726695238,True
belief,6,2,11.0,False
belief,6,3,17.0,False
belief,6,4,23.0,True
belief,6,6,35.0,True
belief,6,9,53.0,False
belief,6,10,59.0,True
belief,6,14,83.0,True
belief,6,15,89.0,False
belief,6,16,367.0,False
belief,6,11,619.4230650116957,False
belief,6,18,661.4230650116957,False
belief,6,20,673.4230650116957,False
belief,6,12,2231.844596239604,False
belief,6,19,3690.177642986575,False
belief,6,1,3948.945424598312,True
belief,6,8,4467.458011934925,True
belief,7,1,5.0,False
belief,7,9,53.0,False
belief,7,13,77.0,False
belief,7,19,113.0,True
belief,7,2,283.0,False
belief,7,6,307.0,True
belief,7,4,1257.6773661143864,False
belief,7,5,1523.6773661143864,True
belief,7,16,1967.580370342091,True
belief,7,18,1979.580370342091,True
belief,7,10,3576.8138472292426,True
belief,7,3,5020.211784411585,True
belief,8,4,295.0,False
belief,8,19,385.0,False
belief,8,3,561.0,True
belief,8,5,573.0,True
belief,8,16,639.0,False
belief,8,7,857.0,False
belief,8,9,869.0,True
belief,8,17,1482.7898024612884,True
belief,8,2,1664.7898024612884,False
belief,8,12,1712.7898024612884,True
belief,8,13,5416.486448650444,True
belief,9,2,11.0,False
belief,9,9,53.0,False
belief,9,19,113.0,False
belief,9,6,307.0,True
belief,9,8,319.0,False
belief,9,11,337.0,True
belief,9,12,731.2734611718389,True
belief,9,16,1287.2734611718388,True
belief,9,1,1463.2734611718388,False
belief,9,18,2636.1136228008254,True
belief,9,14,3388.152821300977,True
belief,9,5,3922.1139631845263,True
belief,9,20,3982.1139631845263,True
belief,10,2,11.0,False
belief,10,7,41.0,False
belief,10,10,59.0,False
belief,10,13,77.0,False
belief,10,14,83.0,True
belief,10,16,95.0,True
belief,10,1,277.0,True
belief,10,8,319.0,False
belief,10,11,337.0,False
belief,10,15,361.0,True
belief,10,5,1260.0854326146355,True
belief,10,17,3007.578969359871,True
belief,10,19,3019.578969359871,True
belief,10,3,5260.835986732874,True
belief,11,3,17.0,False
belief,11,7,41.0,True
belief,11,8,47.0,True
belief,11,17,101.0,False
belief,11,18,107.0,False
belief,11,9,325.0,False
belief,11,20,391.0,True
belief,11,2,555.0,True
belief,11,11,933.4027123186951,True
belief,11,13,945.4027123186951,True
belief,11,10,1348.943258753337,True
belief,11,19,1974.5498923766697,False
belief,11,15,5852.273505109598,True
belief,12,5,29.0,False
belief,12,6,35.0,False
belief,12,8,47.0,False
belief,12,15,89.0,True
belief,12,17,101.0,True
belief,12,13,349.0,True
belief,12,4,837.2945268688931,True
belief,12,1,1611.1598545028592,True
belief,12,11,1913.1598545028592,True
belief,12,9,2149.159854502859,True
belief,12,16,4737.454147776584,True
belief,12,19,5621.454147776584,True
belief,12,12,6469.454147776584,True
belief,13,5,29.0,False
belief,13,8,47.0,True
belief,13,12,71.0,False
belief,13,11,337.0,False
belief,13,13,349.0,True
belief,13,2,555.0,False
belief,13,4,1566.600501381693,True
belief,13,3,2782.027789522654,False
belief,13,18,3084.027789522654,False
belief,13,9,3538.36161631971,True
belief,13,6,4852.300876112312,True
belief,13,10,5082.300876112312,True
belief,14,9,53.0,True
belief,14,18,107.0,False
belief,14,19,113.0,True
belief,14,20,119.0,True
belief,14,5,301.0,False
belief,14,17,373.0,True
belief,14,8,591.0,False
belief,14,11,609.0,False
belief,14,2,876.5233882167896,True
belief,14,12,2549.657637179221,True
belief,15,1,5.0,False
belief,15,8,47.0,False
belief,15,11,65.0,True
belief,15,17,101.0,False
belief,15,20,119.0,False
belief,15,2,283.0,False
belief,15,3,561.0,False
belief,15,19,657.0,True
belief,15,6,1320.5740008185155,True
belief,15,13,5129.462612459995,True
belief,15,15,6052.513105269984,True
belief,16,7,41.0,False
belief,16,11,65.0,True
belief,16,16,95.0,True
belief,16,20,119.0,False
belief,16,4,705.1542866709134,True
belief,16,5,711.1542866709134,False
belief,16,19,789.1542866709134,True
belief,16,14,1031.1542866709133,True
belief,16,8,1261.1542866709133,True
belief,16,10,1806.8690029784502,False
belief,16,18,3166.1476526802826,True
belief,16,1,4183.688282203566,True
belief,17,9,53.0,False
belief,17,11,65.0,False
belief,17,14,83.0,True
belief,17,15,89.0,False
belief,17,5,301.0,False
belief,17,6,307.0,True
belief,17,19,657.0,False
belief,17,13,893.0,False
belief,17,1,1410.133033822721,True
belief,17,12,2646.7294014684267,True
belief,17,20,3411.7157601075546,True
belief,17,10,3841.7157601075546,True
belief,17,18,3871.7157601075546,True
belief,17,2,8072.088907039362,True
belief,18,3,17.0,False
belief,18,5,29.0,False
belief,18,8,47.0,False
belief,18,11,65.0,False
belief,18,17,645.0,False
belief,18,15,899.0,False
belief,18,7,1652.787040194636,True
belief,18,19,1712.787040194636,False
belief,18,4,2301.0731442737083,True
belief,18,18,5393.184017270872,True
belief,18,13,5593.184017270872,True
belief,19,4,23.0,False
belief,19,5,29.0,True
belief,19,11,65.0,False
belief,19,19,113.0,False
belief,19,20,119.0,False
belief,19,12,749.1389241965832,True
belief,19,6,973.1389241965832,True
belief,19,7,979.1389241965832,False
belief,19,17,1033.138924196583,True
belief,19,2,1203.138924196583,True
belief,19,3,1209.138924196583,True
belief,19,18,1293.138924196583,True
belief,19,10,2129.371716769644,True
belief,19,9,2347.371716769644,True
belief,19,16,2825.371716769644,True
belief,20,1,5.0,False
belief,20,3,17.0,True
belief,20,5,29.0,False
belief,20,8,47.0,False
belief,20,9,53.0,False
belief,20,16,95.0,False
belief,20,18,716.4938740462583,True
belief,20,11,940.4938740462583,True
belief,20,2,1272.1825941778602,True
belief,20,7,1746.8054304816692,False
belief,20,6,2120.632374181582,True
belief,20,12,2150.632374181582,False
belief,20,14,2162.632374181582,False
belief,20,20,2990.9257807667664,False
belief,20,4,3313.6629986531734,True
belief,21,8,47.0,True
belief,21,10,59.0,False
belief,21,14,83.0,True
belief,21,15,89.0,False
belief,21,16,95.0,False
belief,21,20,119.0,False
belief,21,3,566.3536510547245,True
belief,21,12,1174.2324537224322,False
belief,21,13,1440.2324537224322,True
belief,21,9,1936.2324537224322,False
belief,21,7,2233.052571276497,True
belief,22,5,29.0,False
belief,22,6,35.0,False
belief,22,17,101.0,False
belief,22,1,277.0,False
belief,22,4,295.0,False
belief,22,16,367.0,True
belief,22,11,609.0,False
belief,22,8,1146.3904366676425,False
belief,22,12,1170.3904366676425,False
belief,22,2,2183.4877589592834,False
belief,22,15,2780.813323830717,True
belief,23,1,5.0,True
belief,23,2,11.0,True
belief,23,3,17.0,True
belief,23,5,29.0,True
belief,23,11,65.0,False
belief,23,17,101.0,False
belief,23,7,313.0,False
belief,23,9,325.0,False
belief,23,20,663.0,False
belief,23,10,963.4150916685235,False
belief,23,18,1567.8907521980825,True
belief,23,19,2378.422670319826,True
belief,23,4,2542.422670319826,True
belief,23,14,2590.422670319826,False
belief,23,6,4109.337170965533,True
belief,23,8,4115.337170965533,True
belief,24,3,17.0,False
belief,24,7,41.0,False
belief,24,15,89.0,True
belief,24,2,283.0,True
belief,24,14,355.0,True
belief,24,19,385.0,True
belief,24,11,609.0,True
belief,24,20,935.0,False
belief,24,1,1093.0,True
belief,24,4,1383.0,False
belief,24,5,1389.0,True
belief,24,6,1395.0,True
belief,24,18,1467.0,True
belief,24,17,1733.0,False
belief,24,13,3707.9643984728104,True
belief,25,1,5.0,False
